Ticker,Close,Volume,52w_High,52w_Low,RS_26w,EPS_G%,REV_G%
MELI,2579.21,879153,2610.3,1550.0,1.3,91.9,43.6
AXON,742.75,1192465,744.51,273.52,1.15,111.9,33.2
