Ticker,Return [%],WinRate [%],MaxDD [%],Trades
AERTW,0.0,0.0,0.0,0
AES,0.0,0.0,-0.0,0
AESI,0.0,0.0,-0.0,0
AEVA,0.0,0.0,-0.0,0
AEVAW,0.0,0.0,0.0,0
AEYE,0.0,0.0,-0.0,0
AFB,0.0,0.0,-0.0,0
AFBI,0.0,0.0,-0.0,0
AFCG,0.0,0.0,-0.0,0
AFG,0.0,0.0,-0.0,0
AFGB,0.0,0.0,-0.0,0
AFGC,0.0,0.0,-0.0,0
AFGD,0.0,0.0,-0.0,0
AFGE,0.0,0.0,-0.0,0
AFJK,0.0,0.0,-0.0,0
AFJKR,0.0,0.0,0.0,0
AFJKU,0.0,0.0,-0.0,0
AFL,0.0,0.0,-0.0,0
AFOS,0.0,0.0,0.0,0
AFRI,0.0,0.0,-0.0,0
AFRIW,0.0,0.0,0.0,0
AFRM,0.0,0.0,-0.0,0
AFSC,0.0,0.0,0.0,0
AFYA,0.0,0.0,-0.0,0
AG,0.0,0.0,-0.0,0
AGAE,0.0,0.0,-0.0,0
AGCO,0.0,0.0,-0.0,0
AGD,0.0,0.0,-0.0,0
AGEM,0.0,0.0,0.0,0
AGEN,0.0,0.0,-0.0,0
AGFY,0.0,0.0,-0.0,0
AGGA,0.0,0.0,0.0,0
AGH,0.0,0.0,0.0,0
AGI,0.0,0.0,-0.0,0
AGIO,0.0,0.0,-0.0,0
AGIX,0.0,0.0,0.0,0
AGL,0.0,0.0,-0.0,0
AGM,0.0,0.0,-0.0,0
AGM.A,0.0,0.0,0.0,0
AGM$D,0.0,0.0,0.0,0
AGM$E,0.0,0.0,0.0,0
AGM$F,0.0,0.0,0.0,0
AGM$G,0.0,0.0,0.0,0
AGMH,0.0,0.0,-0.0,0
AGMI,0.0,0.0,0.0,0
AGNC,0.0,0.0,-0.0,0
AGNCL,0.0,0.0,-0.0,0
AGNCM,0.0,0.0,-0.0,0
AGNCN,0.0,0.0,-0.0,0
AGNCO,0.0,0.0,-0.0,0
AGNCP,0.0,0.0,-0.0,0
AGNG,0.0,0.0,-0.0,0
AGO,0.0,0.0,-0.0,0
AGRI,0.0,0.0,-0.0,0
AGRO,0.0,0.0,-0.0,0
AGX,0.0,0.0,-0.0,0
AGYS,0.0,0.0,-0.0,0
AGZD,0.0,0.0,-0.0,0
AHCO,0.0,0.0,-0.0,0
AHG,0.0,0.0,-0.0,0
AHH,0.0,0.0,-0.0,0
AHH$A,0.0,0.0,0.0,0
AHL,0.0,0.0,0.0,0
AHL$D,0.0,0.0,0.0,0
AHL$E,0.0,0.0,0.0,0
AHL$F,0.0,0.0,0.0,0
AHR,0.0,0.0,-0.0,0
